aX,aY,aZ,gX,gY,gZ
0.540,0.353,0.846,-14.099,102.600,-23.621
0.611,0.335,0.752,-28.625,101.196,-24.719
0.654,0.253,0.656,-26.794,97.534,-32.166
0.699,0.258,0.625,-26.611,95.825,-37.659
0.744,0.287,0.615,-31.250,94.482,-43.030
0.865,0.273,0.569,-45.532,93.323,-52.063
0.921,0.244,0.545,-53.223,92.712,-56.763
0.938,0.238,0.522,-75.623,90.820,-67.017
0.907,0.264,0.523,-86.487,89.905,-72.144
0.887,0.300,0.521,-93.323,82.886,-82.275
0.863,0.351,0.514,-83.252,77.271,-86.792
0.861,0.352,0.517,-41.687,65.247,-93.628
0.825,0.290,0.502,-18.066,60.303,-96.069
0.828,0.246,0.485,5.371,55.725,-99.976
0.833,0.193,0.482,-2.197,56.274,-101.318
0.843,0.181,0.495,-18.799,57.129,-102.234
0.855,0.172,0.507,-46.448,55.115,-103.271
0.922,0.141,0.513,-43.457,52.063,-103.271
0.941,0.117,0.496,-16.785,44.983,-100.098
0.945,0.032,0.441,-7.446,42.297,-96.436
0.944,-0.020,0.414,-1.404,39.124,-85.815
0.946,-0.124,0.365,-3.479,37.842,-79.590
0.945,-0.156,0.356,-17.578,34.302,-67.688
0.954,-0.187,0.326,-25.024,31.738,-62.317
0.958,-0.197,0.312,-27.588,26.062,-52.002
0.956,-0.210,0.303,-23.132,22.949,-47.058
0.953,-0.213,0.298,-17.639,19.348,-42.175
0.948,-0.217,0.290,-7.080,11.414,-32.959
0.926,-0.255,0.279,-2.380,7.751,-28.687
0.920,-0.272,0.279,1.831,1.953,-21.179
0.934,-0.275,0.309,1.099,-0.244,-17.822
0.940,-0.262,0.321,-1.221,-4.395,-10.803
0.955,-0.242,0.321,-1.648,-6.287,-7.141
0.956,-0.235,0.324,-3.235,-9.521,0.244
0.952,-0.218,0.341,-4.028,-10.803,3.784
0.953,-0.218,0.342,-3.601,-12.390,10.193
0.949,-0.175,0.339,-3.052,-12.939,13.062
0.954,-0.165,0.339,2.991,-13.672,17.883
0.950,-0.151,0.349,8.850,-13.916,19.836
0.946,-0.144,0.359,14.893,-14.099,21.667
0.939,-0.146,0.370,21.973,-13.794,24.780
0.918,-0.152,0.398,20.691,-13.611,26.001
0.914,-0.151,0.406,11.719,-12.451,28.015
0.923,-0.162,0.388,5.249,-10.986,28.687
0.913,-0.162,0.383,-17.151,-6.348,29.541
0.878,-0.127,0.414,-32.837,-3.723,29.907
0.871,-0.085,0.440,-58.899,0.549,31.128
0.888,-0.008,0.477,-63.782,2.197,32.288
0.902,0.019,0.471,-53.345,5.188,34.668
0.908,0.045,0.414,-41.748,7.324,35.461
0.904,0.043,0.393,-30.579,9.766,35.950
0.897,0.037,0.385,-20.142,14.587,35.706
0.915,0.042,0.387,-25.208,16.113,34.912
0.927,0.052,0.372,-59.692,16.785,32.471
0.913,0.063,0.363,-81.665,16.235,30.518
0.903,0.074,0.361,-114.990,13.184,24.414
0.895,0.117,0.355,-121.887,10.803,20.508
0.902,0.144,0.352,-119.995,8.179,16.418
0.930,0.196,0.313,-88.684,2.869,8.545
0.937,0.210,0.295,-62.073,0.977,5.127
0.946,0.211,0.298,1.770,-0.793,-0.977
0.952,0.152,0.353,30.518,-0.977,-3.967
0.952,0.138,0.390,55.603,-1.587,-10.193
0.955,0.126,0.403,49.561,-1.953,-13.062

-1.284,0.537,1.180,-81.909,-254.517,206.726
-1.500,0.605,1.220,-70.435,-245.361,253.540
-1.908,0.724,1.373,-64.697,-238.037,277.954
-2.136,0.786,1.456,-59.937,-216.064,329.407
-2.833,0.990,1.658,-58.716,-198.914,356.262
-3.307,1.150,1.884,-28.137,-144.775,410.767
-4.000,1.414,2.597,15.686,-107.544,436.096
-4.000,1.365,3.005,79.834,-59.753,458.191
-3.998,0.890,3.689,193.665,98.816,491.882
-3.987,0.631,3.829,185.974,225.952,506.653
-3.993,0.452,3.692,1.709,580.933,531.799
-4.000,0.746,2.117,-105.103,784.546,531.738
-4.000,1.207,0.667,-160.767,1144.287,503.662
-4.000,2.235,-2.923,-114.624,1270.203,493.652
-4.000,2.636,-4.000,21.423,1340.271,507.446
-4.000,2.474,-4.000,-32.532,1259.888,499.329
-4.000,2.492,-4.000,-405.151,946.960,329.651
-2.494,2.514,-3.970,-481.506,757.080,191.833
-0.570,2.479,-3.997,-419.189,561.279,68.298
0.990,2.323,-4.000,-209.045,192.017,-80.505
1.420,1.887,-4.000,-160.583,28.992,-117.737
0.864,1.652,-3.999,-40.100,-239.868,-152.527
0.098,1.094,-3.974,62.622,-333.923,-158.936
0.069,0.739,-3.719,213.928,-423.828,-171.570
0.495,0.289,-2.345,225.037,-428.589,-178.223
0.737,0.144,-1.687,182.190,-396.667,-183.533
0.920,-0.114,-0.869,152.893,-369.080,-183.472
0.861,-0.171,-0.613,115.906,-294.189,-180.786
0.659,-0.240,-0.198,104.858,-258.789,-178.711
0.643,-0.284,-0.021,93.018,-231.567,-177.795
0.620,-0.370,0.210,65.613,-182.861,-177.368
0.554,-0.388,0.264,40.649,-155.884,-175.110
0.422,-0.323,0.301,-20.142,-107.361,-166.138
0.385,-0.265,0.305,-37.170,-88.745,-160.889
0.348,-0.221,0.315,-39.490,-61.829,-150.085
0.269,-0.210,0.335,-34.241,-51.086,-144.714
0.211,-0.205,0.322,-13.123,-30.396,-135.742
0.314,-0.193,0.412,7.996,-20.996,-132.568
0.335,-0.157,0.429,44.189,-11.108,-127.441
0.407,-0.338,0.524,57.861,-9.644,-126.160
0.596,-0.392,0.547,74.341,-8.362,-126.831
0.493,-0.429,0.583,62.378,-7.751,-125.122
0.287,-0.470,0.556,16.602,-5.188,-114.746
0.404,-0.561,0.655,4.395,-3.723,-108.276
0.675,-0.583,0.720,-14.954,0.183,-91.736
0.858,-0.698,0.750,-50.903,4.456,-78.918
0.835,-0.739,0.782,-108.765,10.681,-63.293
0.764,-0.692,0.826,-227.478,24.841,-31.128
0.666,-0.448,0.925,-252.502,30.823,-17.639
0.694,-0.321,0.920,-211.670,41.199,3.357
0.793,-0.256,0.748,-162.842,47.668,11.658
0.789,-0.251,0.682,-73.181,65.735,26.550
0.751,-0.198,0.654,-42.908,74.402,33.875
0.745,-0.170,0.661,0.732,82.214,47.729
0.818,-0.252,0.634,9.644,82.336,53.650
0.836,-0.271,0.632,1.587,81.726,58.472
0.838,-0.271,0.624,-47.668,80.200,64.331
0.911,-0.223,0.576,-64.941,79.651,66.101
1.021,-0.180,0.571,-67.810,81.055,72.144
1.113,-0.191,0.604,-61.218,83.008,77.209
1.099,-0.200,0.641,-51.270,88.196,89.416
1.062,-0.170,0.644,-49.011,90.576,95.215
1.067,-0.120,0.635,-35.828,93.567,104.370
1.081,-0.075,0.530,-14.099,93.628,107.483
1.090,-0.087,0.419,38.757,92.712,111.389
1.083,-0.090,0.307,47.241,92.163,112.427
1.077,-0.083,0.313,33.081,91.003,112.671
1.089,-0.049,0.303,-46.021,85.876,109.253
1.159,0.123,0.212,-88.806,82.947,105.530
1.144,0.181,0.197,-134.277,76.599,96.008
0.961,0.285,0.177,-138.794,72.388,90.515
0.945,0.362,0.057,-157.166,65.674,82.825
1.303,0.258,-0.010,-178.467,65.002,80.383
1.067,0.292,-0.050,-200.989,64.880,77.942
0.549,0.405,-0.104,-247.437,66.711,73.975
0.460,0.380,0.018,-270.264,68.115,70.679
0.478,0.367,0.037,-302.124,67.200,56.335
0.663,0.250,-0.099,-308.167,66.040,43.884
0.781,0.257,-0.118,-245.911,59.387,7.568
0.869,0.416,-0.130,-169.678,51.208,-11.902
0.872,0.407,-0.183,-17.090,30.273,-43.945
0.954,0.320,-0.227,30.151,21.240,-56.885
0.982,0.342,-0.249,70.435,7.629,-77.637
1.054,0.209,-0.180,70.740,1.404,-85.449
1.029,0.087,-0.203,60.425,-5.432,-92.590
1.004,-0.038,-0.207,21.912,-18.616,-106.812
1.225,-0.159,-0.090,0.183,-23.682,-112.915
1.274,-0.143,-0.065,-29.785,-30.579,-118.286
1.314,-0.026,0.032,-38.513,-33.142,-115.723
1.283,-0.041,0.022,-60.059,-39.185,-100.464
0.900,0.036,-0.115,-72.266,-40.771,-87.891
0.917,-0.102,-0.113,-106.262,-36.865,-55.908
1.359,-0.365,0.072,-125.610,-32.715,-39.673
1.359,-0.420,0.020,-144.287,-20.447,-10.864
1.200,-0.470,0.040,-136.353,-11.169,1.099
1.224,-0.432,0.101,-82.703,7.874,20.691
1.146,-0.286,0.042,-44.617,16.174,29.541
1.094,-0.267,0.012,26.855,29.968,44.373
1.037,-0.295,0.003,51.819,34.180,48.706
1.019,-0.260,-0.048,66.101,36.316,50.598
0.977,-0.205,-0.080,82.336,36.255,48.828
0.880,-0.029,-0.225,103.943,34.424,46.326
0.890,0.031,-0.283,170.837,28.442,40.039
0.854,0.024,-0.364,195.496,24.536,35.950
0.871,0.006,-0.391,198.181,15.625,23.376
