aX,aY,aZ,gX,gY,gZ
-3.432,-1.875,-3.999,97.595,197.388,-343.018
-3.061,-1.627,-4.000,313.965,110.474,-219.543
-2.926,-1.536,-4.000,446.472,44.800,-129.333
-2.394,-1.298,-3.738,519.043,-39.551,-42.969
-2.153,-1.084,-3.297,470.032,-58.472,-30.029
-1.955,-0.912,-2.860,289.612,-49.377,-28.442
-1.489,-0.584,-2.364,207.642,-25.879,-33.081
-1.357,-0.425,-2.179,69.275,15.991,-43.823
-1.178,-0.206,-1.929,18.982,36.987,-51.086
-1.108,-0.174,-1.879,69.458,91.980,-56.885
-0.983,-0.260,-1.950,115.417,114.258,-55.298
-0.923,-0.294,-1.998,109.131,139.404,-53.345
-0.934,-0.276,-2.056,81.543,141.479,-51.880
-0.916,-0.243,-2.074,40.955,124.756,-48.523
-0.788,-0.176,-2.081,30.090,108.398,-46.997
-0.738,-0.167,-2.081,15.442,68.665,-44.006
-0.667,-0.133,-2.010,14.282,48.218,-42.358
-0.642,-0.107,-1.946,18.555,10.742,-35.950
-0.625,-0.095,-1.798,19.043,-5.310,-30.823
-0.610,-0.099,-1.730,14.038,-29.846,-20.386
-0.577,-0.065,-1.603,7.202,-38.513,-15.808
-0.573,-0.023,-1.544,-1.465,-51.086,-7.996
-0.577,0.062,-1.473,4.822,-56.213,-4.639
-0.604,0.084,-1.447,15.747,-61.279,-1.648
-0.649,0.102,-1.434,27.588,-71.899,2.869
-0.638,0.110,-1.451,25.208,-77.393,4.517
-0.644,0.128,-1.463,9.888,-89.294,6.653
-0.727,0.216,-1.454,0.732,-96.313,6.836
-0.771,0.269,-1.441,-6.714,-112.915,6.165
-0.800,0.342,-1.424,-2.747,-121.460,5.432
-0.810,0.360,-1.421,6.470,-136.047,2.930
-0.862,0.393,-1.415,8.423,-141.602,1.160
-0.890,0.400,-1.406,9.338,-150.940,-2.625
-0.926,0.437,-1.365,4.211,-155.640,-4.150
-0.945,0.458,-1.341,-14.526,-164.978,-6.042
-0.962,0.462,-1.256,-19.165,-168.762,-7.202
-0.924,0.454,-1.201,-23.254,-172.974,-11.230
-0.825,0.431,-1.093,-30.518,-172.974,-13.550
-0.780,0.425,-1.051,-42.053,-171.448,-15.503
-0.660,0.408,-0.971,-64.270,-163.818,-18.250
-0.605,0.387,-0.937,-71.106,-158.447,-19.165
-0.561,0.357,-0.911,-89.111,-147.034,-19.592
-0.487,0.314,-0.885,-104.492,-141.968,-18.372
-0.435,0.306,-0.893,-138.184,-133.850,-11.475
-0.336,0.265,-0.906,-151.733,-130.371,-5.676
-0.297,0.238,-0.913,-176.392,-124.207,9.338
-0.215,0.228,-0.921,-190.002,-121.155,18.250
-0.182,0.228,-0.902,-206.177,-114.990,37.292
-0.123,0.251,-0.878,-204.285,-111.694,46.814
-0.072,0.258,-0.875,-188.721,-103.027,66.467
0.061,0.289,-0.908,-181.213,-97.046,76.965
0.110,0.290,-0.918,-173.340,-83.252,98.633
0.114,0.237,-0.904,-172.546,-76.721,108.337
0.156,0.270,-0.921,-175.415,-70.618,116.882
